2024-05-19 18:11:21.536984: [training]
2024-05-19 18:11:27.336256: iter: [1/100], train_loss: 2.992429, valid_loss: 0.029611, best_valid_loss: 0.029611, lr: 0.00400
2024-05-19 18:11:29.301273: iter: [2/100], train_loss: 0.488896, valid_loss: 0.028318, best_valid_loss: 0.028318, lr: 0.00400
2024-05-19 18:11:31.389996: iter: [3/100], train_loss: 0.225172, valid_loss: 0.012591, best_valid_loss: 0.012591, lr: 0.00400
2024-05-19 18:11:33.513101: iter: [4/100], train_loss: 0.119636, valid_loss: 0.008586, best_valid_loss: 0.008586, lr: 0.00400
2024-05-19 18:11:35.638087: iter: [5/100], train_loss: 0.083855, valid_loss: 0.005518, best_valid_loss: 0.005518, lr: 0.00400
2024-05-19 18:11:37.806797: iter: [6/100], train_loss: 0.070004, valid_loss: 0.004148, best_valid_loss: 0.004148, lr: 0.00400
2024-05-19 18:11:39.900733: iter: [7/100], train_loss: 0.058037, valid_loss: 0.004496, best_valid_loss: 0.004148, lr: 0.00400
2024-05-19 18:11:42.135580: iter: [8/100], train_loss: 0.048890, valid_loss: 0.002821, best_valid_loss: 0.002821, lr: 0.00400
2024-05-19 18:11:44.286529: iter: [9/100], train_loss: 0.040130, valid_loss: 0.002965, best_valid_loss: 0.002821, lr: 0.00400
2024-05-19 18:11:46.450184: iter: [10/100], train_loss: 0.037889, valid_loss: 0.002035, best_valid_loss: 0.002035, lr: 0.00400
2024-05-19 18:11:48.612749: iter: [11/100], train_loss: 0.029574, valid_loss: 0.002159, best_valid_loss: 0.002035, lr: 0.00400
2024-05-19 18:11:50.670024: iter: [12/100], train_loss: 0.028082, valid_loss: 0.001879, best_valid_loss: 0.001879, lr: 0.00400
2024-05-19 18:11:52.857217: iter: [13/100], train_loss: 0.028803, valid_loss: 0.001297, best_valid_loss: 0.001297, lr: 0.00400
2024-05-19 18:11:54.978506: iter: [14/100], train_loss: 0.031168, valid_loss: 0.003606, best_valid_loss: 0.001297, lr: 0.00400
2024-05-19 18:11:56.336805: iter: [15/100], train_loss: 0.049501, valid_loss: 0.002294, best_valid_loss: 0.001297, lr: 0.00400
2024-05-19 18:11:57.778964: iter: [16/100], train_loss: 0.022330, valid_loss: 0.001552, best_valid_loss: 0.001297, lr: 0.00400
2024-05-19 18:11:59.154063: iter: [17/100], train_loss: 0.017535, valid_loss: 0.001175, best_valid_loss: 0.001175, lr: 0.00400
2024-05-19 18:12:00.509987: iter: [18/100], train_loss: 0.013789, valid_loss: 0.001450, best_valid_loss: 0.001175, lr: 0.00400
2024-05-19 18:12:01.797363: iter: [19/100], train_loss: 0.017475, valid_loss: 0.002991, best_valid_loss: 0.001175, lr: 0.00400
2024-05-19 18:12:03.139022: iter: [20/100], train_loss: 0.017449, valid_loss: 0.001243, best_valid_loss: 0.001175, lr: 0.00400
2024-05-19 18:12:04.442522: iter: [21/100], train_loss: 0.012740, valid_loss: 0.000975, best_valid_loss: 0.000975, lr: 0.00400
2024-05-19 18:12:05.632529: iter: [22/100], train_loss: 0.011967, valid_loss: 0.001010, best_valid_loss: 0.000975, lr: 0.00400
2024-05-19 18:12:06.872193: iter: [23/100], train_loss: 0.010723, valid_loss: 0.000846, best_valid_loss: 0.000846, lr: 0.00400
2024-05-19 18:12:08.126381: iter: [24/100], train_loss: 0.010815, valid_loss: 0.000825, best_valid_loss: 0.000825, lr: 0.00400
2024-05-19 18:12:09.581929: iter: [25/100], train_loss: 0.010572, valid_loss: 0.001416, best_valid_loss: 0.000825, lr: 0.00400
2024-05-19 18:12:11.047473: iter: [26/100], train_loss: 0.012235, valid_loss: 0.000804, best_valid_loss: 0.000804, lr: 0.00400
2024-05-19 18:12:12.418676: iter: [27/100], train_loss: 0.010292, valid_loss: 0.000749, best_valid_loss: 0.000749, lr: 0.00400
2024-05-19 18:12:13.729933: iter: [28/100], train_loss: 0.010263, valid_loss: 0.000731, best_valid_loss: 0.000731, lr: 0.00400
2024-05-19 18:12:15.023162: iter: [29/100], train_loss: 0.009786, valid_loss: 0.000718, best_valid_loss: 0.000718, lr: 0.00400
2024-05-19 18:12:16.312009: iter: [30/100], train_loss: 0.009337, valid_loss: 0.000709, best_valid_loss: 0.000709, lr: 0.00400
2024-05-19 18:12:17.563216: iter: [31/100], train_loss: 0.009604, valid_loss: 0.000729, best_valid_loss: 0.000709, lr: 0.00400
2024-05-19 18:12:18.888645: iter: [32/100], train_loss: 0.008826, valid_loss: 0.000698, best_valid_loss: 0.000698, lr: 0.00400
2024-05-19 18:12:20.357761: iter: [33/100], train_loss: 0.008569, valid_loss: 0.000679, best_valid_loss: 0.000679, lr: 0.00400
2024-05-19 18:12:21.705472: iter: [34/100], train_loss: 0.009232, valid_loss: 0.001382, best_valid_loss: 0.000679, lr: 0.00400
2024-05-19 18:12:23.060841: iter: [35/100], train_loss: 0.014022, valid_loss: 0.001741, best_valid_loss: 0.000679, lr: 0.00400
2024-05-19 18:12:24.501039: iter: [36/100], train_loss: 0.010883, valid_loss: 0.000671, best_valid_loss: 0.000671, lr: 0.00400
2024-05-19 18:12:25.698269: iter: [37/100], train_loss: 0.009287, valid_loss: 0.000871, best_valid_loss: 0.000671, lr: 0.00400
2024-05-19 18:12:26.922852: iter: [38/100], train_loss: 0.015428, valid_loss: 0.000796, best_valid_loss: 0.000671, lr: 0.00400
